Publication Title,Author,Publication Year,Venue,bib
New insights concerning intrinsic joint elasticity for safety,"Albu-Schäffer, Alin",2010,"2010 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2010"
Regelung von Robotern mit elastischen Gelenken am Beispiel der DLR-Leichtbauarme,"Albu-Schäffer, Alin",2002,"Technische Universität München, 2002"
The DLR MiroSurge-A robotic system for surgery,"Albu-Schäffer, Alin",2009,"2009 IEEE international conference on Robotics and automation, 1589-1590, 2009"
Whole-body impedance control of wheeled mobile manipulators: Stability analysis and experiments on the humanoid robot Rollin’Justin,"Albu-Schäffer, Alin",2016,"Autonomous Robots 40, 505-517, 2016"
Optimal control for maximizing link velocity of robotic variable stiffness joints,"Albu-Schäffer, Alin",2011,"IFAC Proceedings Volumes 44 (1), 6863-6871, 2011"
Development of a biped robot with torque controlled joints,"Albu-Schäffer, Alin",2010,"2010 10th IEEE-RAS International Conference on Humanoid Robots, 167-173, 2010"
The OOS-SIM: An on-ground simulation facility for on-orbit servicing robotic operations,"Albu-Schäffer, Alin",2015,"2015 IEEE International Conference on Robotics and Automation (ICRA), 2854-2860, 2015"
A humanoid upper body system for two-handed manipulation,"Albu-Schäffer, Alin",2007,"Proceedings 2007 IEEE International Conference on Robotics and Automation …, 2007"
Backstepping control of variable stiffness robots,"Albu-Schäffer, Alin",2015,"IEEE Transactions on Control Systems Technology 23 (6), 2195-2202, 2015"
State feedback damping control for a multi dof variable stiffness robot arm,"Albu-Schäffer, Alin",2011,"2011 IEEE international conference on robotics and automation, 5561-5567, 2011"
Dynamic modelling and control of variable stiffness actuators,"Albu-Schäffer, Alin",2010,"2010 IEEE International Conference on Robotics and Automation, 2155-2162, 2010"
On the kinematic modeling and control of a mobile platform equipped with steering wheels and movable legs,"Albu-Schäffer, Alin",2009,"2009 IEEE International Conference on Robotics and Automation, 4080-4087, 2009"
An overview on principles for energy efficient robot locomotion,"Albu-Schäffer, Alin",2018,"Frontiers in Robotics and AI 5, 129, 2018"
"Soft robotics: what cartesian stiffness can obtain with passively compliant, uncoupled joints?","Albu-Schäffer, Alin",2004,"2004 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2004"
Passivity and stability boundaries for haptic systems with time delay,"Albu-Schäffer, Alin",2013,"IEEE Transactions on Control Systems Technology 22 (4), 1297-1309, 2013"
Optimal control for exploiting the natural dynamics of variable stiffness robots,"Albu-Schäffer, Alin",2012,"2012 IEEE International Conference on Robotics and Automation, 3347-3354, 2012"
Real-time reactive motion generation based on variable attractor dynamics and shaped velocities,"Albu-Schäffer, Alin",2010,"2010 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2010"
Elastic structure preserving (ESP) control for compliantly actuated robots,"Albu-Schäffer, Alin",2018,"IEEE Transactions on Robotics 34 (2), 317-335, 2018"
Designing optimally safe robot surface properties for minimizing the stress characteristics of human-robot collisions,"Albu-Schäffer, Alin",2011,"2011 IEEE International Conference on Robotics and Automation, 5413-5420, 2011"
ROKVISS-robotics component verification on ISS current experimental results on parameter identification,"Albu-Schäffer, Alin",2006,"Proceedings 2006 IEEE International Conference on Robotics and Automation …, 2006"
Dynamic whole-body mobile manipulation with a torque controlled humanoid robot via impedance control laws,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
Decoupling based cartesian impedance control of flexible joint robots,"Albu-Schäffer, Alin",2003,"2003 IEEE International Conference on Robotics and Automation (Cat. No …, 2003"
Dynamic motion planning for robots in partially unknown environments,"Albu-Schäffer, Alin",2011,"IFAC Proceedings Volumes 44 (1), 6842-6850, 2011"
Trajectory generation for continuous leg forces during double support and heel-to-toe shift based on divergent component of motion,"Albu-Schäffer, Alin",2014,"2014 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2014"
The ARCHES space-analogue demonstration mission: Towards heterogeneous teams of autonomous robots for collaborative scientific sampling in planetary exploration,"Albu-Schäffer, Alin",2020,"IEEE Robotics and Automation Letters 5 (4), 5315-5322, 2020"
On the closed form computation of the dynamic matrices and their differentiations,"Albu-Schäffer, Alin",2013,"2013 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2013"
Safety analysis for a human-friendly manipulator,"Albu-Schäffer, Alin",2010,"International Journal of Social Robotics 2, 235-252, 2010"
Anthropomorphic medical robot arm with movement restrictions,"Albu-Schäffer, Alin",2012,"US Patent 8,160,743, 2012"
Kick it with elasticity: Safety and performance in human–robot soccer,"Albu-Schäffer, Alin",2009,"Robotics and Autonomous Systems 57 (8), 761-775, 2009"
Generalizing torque control concepts: Using well-established torque control methods on variable stiffness robots,"Albu-Schäffer, Alin",2015,"IEEE Robotics & Automation Magazine 22 (4), 37-51, 2015"
Robotic agents capable of natural and safe physical interaction with human co-workers,"Albu-Schäffer, Alin",2015,"2015 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2015"
"Multi-objective compliance control of redundant manipulators: Hierarchy, control, and stability","Albu-Schäffer, Alin",2013,"2013 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2013"
Extensions to reactive self-collision avoidance for torque and position controlled humanoids,"Albu-Schäffer, Alin",2011,"2011 IEEE International Conference on Robotics and Automation, 3455-3462, 2011"
Object-centered hybrid reasoning for whole-body mobile manipulation,"Albu-Schäffer, Alin",2014,"2014 IEEE International conference on robotics and automation (ICRA), 1828-1835, 2014"
A versatile biomimetic controller for contact tooling and haptic exploration,"Albu-Schäffer, Alin",2012,"2012 IEEE International Conference on Robotics and Automation, 3329-3334, 2012"
Cartesian impedance control for a variable stiffness robot arm,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
Impedance control for variable stiffness mechanisms with nonlinear joint coupling,"Albu-Schäffer, Alin",2008,"2008 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2008"
Robust adaptive tracking control based on state feedback controller with integrator terms for elastic joint robots with uncertain parameters,"Albu-Schäffer, Alin",2017,"IEEE Transactions on Control Systems Technology 26 (6), 2259-2267, 2017"
Soft-tissue injury in robotics,"Albu-Schäffer, Alin",2010,"2010 IEEE International Conference on Robotics and Automation, 3426-3433, 2010"
Dynamic walking on compliant and uneven terrain using DCM and passivity-based whole-body control,"Albu-Schäffer, Alin",2019,"2019 IEEE-RAS 19th International Conference on Humanoid Robots (Humanoids …, 2019"
A truly safely moving robot has to know what injury it may cause,"Albu-Schäffer, Alin",2012,"2012 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2012"
Anthropomorphic soft robotics–from torque control to variable intrinsic compliance,"Albu-Schäffer, Alin",2011,"Robotics Research: The 14th International Symposium ISRR, 185-207, 2011"
Iteratively refined feasibility checks in robotic assembly sequence planning,"Albu-Schäffer, Alin",2019,"IEEE Robotics and Automation Letters 4 (2), 1416-1423, 2019"
"Interaction force, impedance and trajectory adaptation: by humans, for robots","Albu-Schäffer, Alin",2014,"Experimental Robotics: The 12th International Symposium on Experimental …, 2014"
Variable impedance actuators: Moving the robots of tomorrow,"Albu-Schäffer, Alin",2012,"2012 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2012"
MIMO state feedback controller for a flexible joint robot with strong joint coupling,"Albu-Schäffer, Alin",2007,"Proceedings 2007 IEEE International Conference on Robotics and Automation …, 2007"
Comparison of adaptive and nonadaptive tracking control laws for a flexible joint manipulator,"Albu-Schäffer, Alin",2002,"IEEE/RSJ international conference on intelligent robots and systems 2, 2018-2024, 2002"
An analytical method for the planning of robust assembly tasks of complex shaped planar parts,"Albu-Schäffer, Alin",2007,"Proceedings 2007 IEEE International Conference on Robotics and Automation …, 2007"
Model-free friction observers for flexible joint robots with torque measurements,"Albu-Schäffer, Alin",2019,"IEEE Transactions on Robotics 35 (6), 1508-1515, 2019"
Passive hierarchical impedance control via energy tanks,"Albu-Schäffer, Alin",2016,"IEEE Robotics and Automation Letters 2 (2), 522-529, 2016"
"Unmanned aerial systems physically interacting with the environment: Load transportation, deployment, and aerial manipulation","Albu-Schäffer, Alin",2015,"Handbook of unmanned aerial vehicles, 2755-2785, 2015"
"On continuous null space projections for torque-based, hierarchical, multi-objective manipulation","Albu-Schäffer, Alin",2012,"2012 IEEE international conference on robotics and automation, 2978-2985, 2012"
Robot companions for citizens,"Albu-Schäffer, Alin",2011,"Procedia Computer Science 7, 47-51, 2011"
Coordinated control of spacecraft's attitude and end-effector for space robots,"Albu-Schäffer, Alin",2019,"IEEE Robotics and Automation Letters 4 (2), 2108-2115, 2019"
Learning from demonstration: repetitive movements for autonomous service robotics,"Albu-Schäffer, Alin",2004,"2004 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2004"
Knowledge-enabled parameterization of whole-body control strategies for compliant service robots,"Albu-Schäffer, Alin",2016,"Autonomous Robots 40, 519-536, 2016"
Evaluation of collision detection and reaction for a human-friendly robot on biological tissues,"Albu-Schäffer, Alin",2008,"Proceedings IARP 2008, 2008"
Tracking control for the grasping of a tumbling satellite with a free-floating robot,"Albu-Schäffer, Alin",2018,"IEEE Robotics and Automation Letters 3 (4), 3638-3645, 2018"
Experimental study on dynamic reactionless motions with DLR's humanoid robot Justin,"Albu-Schäffer, Alin",2009,"2009 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2009"
Physical human-robot interaction in anthropic domains: safety and dependability,"Albu-Schäffer, Alin",2005,"Proceeding 4th IARP/IEEE-EURON Workshop on Technical Challenges for …, 2005"
Nonlinear oscillations for cyclic movements in human and robotic arms,"Albu-Schäffer, Alin",2014,"IEEE Transactions on Robotics 30 (4), 865-879, 2014"
Study on soft-tissue injury in robotics,"Albu-Schäffer, Alin",2011,"IEEE Robotics & Automation Magazine 18 (4), 20-34, 2011"
A review on nonlinear modes in conservative mechanical systems,"Albu-Schäffer, Alin",2020,"Annual Reviews in Control 50, 49-71, 2020"
"Singularity avoidance for nonholonomic, omnidirectional wheeled mobile platforms with variable footprint","Albu-Schäffer, Alin",2011,"2011 IEEE International Conference on Robotics and Automation, 6136-6142, 2011"
Dynamics and control of a free-floating space robot in presence of nonzero linear and angular momenta,"Albu-Schäffer, Alin",2016,"2016 IEEE 55th Conference on Decision and Control (CDC), 7527-7534, 2016"
Energy shaping control for a class of underactuated euler-lagrange systems,"Albu-Schäffer, Alin",2012,"IFAC Proceedings Volumes 45 (22), 567-575, 2012"
Touch: The direct type of human interaction with a redundant service robot,"Albu-Schäffer, Alin",2001,"Proceedings 10th IEEE International Workshop on Robot and Human Interactive …, 2001"
"Robotic agents representing, reasoning, and executing wiping tasks for daily household chores","Albu-Schäffer, Alin",2016,"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS, 2016"
Classifying compliant manipulation tasks for automated planning in robotics,"Albu-Schäffer, Alin",2015,"2015 IEEE/RSJ international conference on intelligent robots and systems …, 2015"
Soft robotics with variable stiffness actuators: Tough robots for soft human robot interaction,"Albu-Schäffer, Alin",2015,"Soft Robotics: Transferring Theory to Application, 231-254, 2015"
Modular state-based behavior control for safe human-robot interaction: A lightweight control architecture for a lightweight robot,"Albu-Schäffer, Alin",2011,"2011 IEEE International Conference on Robotics and Automation, 4298-4305, 2011"
Pattern recognition for knowledge transfer in robotic assembly sequence planning,"Albu-Schäffer, Alin",2020,"IEEE Robotics and Automation Letters 5 (2), 3666-3673, 2020"
"Caesar: Space robotics technology for assembly, maintenance, and repair","Albu-Schäffer, Alin",2018,"Proceedings of the International Astronautical Congress, IAC, 2018"
Dynamic locomotion gaits of a compliantly actuated quadruped with slip-like articulated legs embodied in the mechanical design,"Albu-Schäffer, Alin",2018,"IEEE Robotics and Automation Letters 3 (4), 3908-3915, 2018"
Fusing joint measurements and visual features for in-hand object pose estimation,"Albu-Schäffer, Alin",2018,"IEEE Robotics and Automation Letters 3 (4), 3497-3504, 2018"
"The dlr c-runner: Concept, design and experiments","Albu-Schäffer, Alin",2016,"2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids …, 2016"
TeleImpedance: Exploring the role of common-mode and configuration-dependant stiffness,"Albu-Schäffer, Alin",2012,"2012 12th IEEE-RAS International Conference on Humanoid Robots (Humanoids …, 2012"
Robust assembly of complex shaped planar parts using vision and force,"Albu-Schäffer, Alin",2006,"2006 IEEE International Conference on Multisensor Fusion and Integration for …, 2006"
The repetition roadmap for repetitive constrained motion planning,"Albu-Schäffer, Alin",2018,"IEEE Robotics and Automation Letters 3 (4), 3884-3891, 2018"
"Eigenmodes of nonlinear dynamics: Definition, existence, and embodiment into legged robots with elastic elements","Albu-Schäffer, Alin",2017,"IEEE Robotics and Automation Letters 2 (2), 1062-1069, 2017"
Kontur-2 mission: the DLR force feedback joystick for space telemanipulation from the ISS,"Albu-Schäffer, Alin",2016,
A passivity-based approach for trajectory tracking and link-side damping of compliantly actuated robots,"Albu-Schäffer, Alin",2016,"2016 IEEE International Conference on Robotics and Automation (ICRA), 1079-1086, 2016"
Teleoperation for on-orbit servicing missions through the astra geostationary satellite,"Albu-Schäffer, Alin",2016,"2016 IEEE Aerospace Conference, 1-12, 2016"
Extending the capability of using a waterjet in surgical interventions by the use of robotics,"Albu-Schäffer, Alin",2016,"IEEE Transactions on Biomedical Engineering 64 (2), 284-294, 2016"
Actuators for soft robotics,"Albu-Schäffer, Alin",2016,"Springer Handbook of Robotics, 499-530, 2016"
Object-level impedance control for dexterous in-hand manipulation,"Albu-Schäffer, Alin",2020,"IEEE Robotics and Automation Letters 5 (2), 2987-2994, 2020"
Using Nonlinear Normal Modes for Execution of Efficient Cyclic Motions in Articulated Soft Robots,"Albu-Schäffer, Alin",2018,"arXiv preprint arXiv:1806.08389, 2018"
Modal limit cycle control for variable stiffness actuated robots,"Albu-Schäffer, Alin",2013,"2013 IEEE International Conference on Robotics and Automation, 4934-4941, 2013"
Experimental analysis on spatial and cartesian impedance control for the dexterous DLR/HIT II hand,"Albu-Schäffer, Alin",2014,"International Journal of Robotics & Automation 29 (1), 1-13, 2014"
A modally adaptive control for multi-contact cyclic motions in compliantly actuated robotic systems,"Albu-Schäffer, Alin",2013,"2013 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2013"
Impedance control of a non-linearly coupled tendon driven thumb,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
Dummy crash-tests for the evaluation of rigid human-robot impacts,"Albu-Schäffer, Alin",2007,"International Workshop on Technical Challenges for dependable robots in …, 2007"
Key issues in the dynamic control of lightweight robots for space and terrestrial applications,"Albu-Schäffer, Alin",1998,"Proceedings. 1998 IEEE International Conference on Robotics and Automation …, 1998"
SRT3D: A sparse region-based 3D object tracking approach for the real world,"Albu-Schäffer, Alin",2022,"International Journal of Computer Vision 130 (4), 1008-1030, 2022"
EDAN: An EMG-controlled daily assistant to help people with physical disabilities,"Albu-Schäffer, Alin",2020,"2020 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2020"
A sparse gaussian approach to region-based 6DoF object tracking,"Albu-Schäffer, Alin",2020,"Proceedings of the Asian Conference on Computer Vision, 2020"
Design and control of compliantly actuated bipedal running robots: Concepts to exploit natural system dynamics,"Albu-Schäffer, Alin",2014,"2014 IEEE-RAS International Conference on Humanoid Robots, 930-937, 2014"
Exploiting potential energy storage for cyclic manipulation: An analysis for elastic dribbling with an anthropomorphic robot,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
An ecosystem for heterogeneous robotic assistants in caregiving: Core functionalities and use cases,"Albu-Schäffer, Alin",2020,"IEEE Robotics & Automation Magazine 28 (3), 12-28, 2020"
From single autonomous robots toward cooperative robotic interactions for future planetary exploration missions,"Albu-Schäffer, Alin",2018,"Proceedings of the International Astronautical Congress, IAC, 2018"
Design and operational elements of the robotic subsystem for the e. deorbit debris removal mission,"Albu-Schäffer, Alin",2018,"Frontiers in Robotics and AI 5, 100, 2018"
Repetition sampling for efficiently planning similar constrained manipulation tasks,"Albu-Schäffer, Alin",2017,"2017 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2017"
Robotic assembly of complex planar parts: An experimental evaluation,"Albu-Schäffer, Alin",2008,"2008 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2008"
A passivity-based controller for motion tracking and damping assignment for compliantly actuated robots,"Albu-Schäffer, Alin",2016,"2016 IEEE 55th Conference on Decision and Control (CDC), 1521-1528, 2016"
On impact decoupling properties of elastic robots and time optimal velocity maximization on joint level,"Albu-Schäffer, Alin",2012,"2012 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2012"
Injury evaluation of human-robot impacts,"Albu-Schäffer, Alin",2008,"2008 IEEE International Conference on Robotics and Automation, 2203-2204, 2008"
Joint-level control of the DLR lightweight robot SARA,"Albu-Schäffer, Alin",2020,"2020 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2020"
Workspace fixation for free-floating space robot operations,"Albu-Schäffer, Alin",2018,"2018 IEEE International Conference on Robotics and Automation (ICRA), 889-896, 2018"
Biologically inspired deadbeat control for running: from human analysis to humanoid control and back,"Albu-Schäffer, Alin",2016,"IEEE Transactions on Robotics 32 (4), 854-867, 2016"
A model-free approach to vibration suppression for intrinsically elastic robots,"Albu-Schäffer, Alin",2014,"2014 IEEE International Conference on Robotics and Automation (ICRA), 2176-2182, 2014"
Direct force reflecting teleoperation with a flexible joint robot,"Albu-Schäffer, Alin",2012,"2012 IEEE International Conference on Robotics and Automation, 4280-4287, 2012"
Exploiting potential energy storage for cyclic manipulation: An analysis for elastic dribbling with an anthropomorphic robot,"Albu-Schäffer, Alin",2011,"2011 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2011"
Safe interactions and kinesthetic feedback in high performance earth-to-moon teleoperation,"Albu-Schäffer, Alin",2020,"2020 IEEE Aerospace Conference, 1-10, 2020"
